feature,importance
temp_x_consumption,0.5702252595743137
lag_1,0.22820153525552345
temperature_c,0.17705639942426019
lag_48,0.010904473842146005
roll_max_48,0.0012848218667633768
hh_consumption_variance,0.001164993623109146
roll_mean_48,0.0011178300160902405
lag_2,0.0010383833160600429
roll_std_48,0.000984314651195465
roll_min_24,0.0006842548430583441
season_x_temp,0.0006631657620201927
roll_mean_24,0.0006225618415443613
roll_max_24,0.0006113367298448148
dew_point,0.0004999668737577569
lag_24,0.0004585181803357332
hh_avg_consumption,0.0004477030248746107
pressure,0.0004340677498442778
wind_speed,0.00041727183998065
hh_peak_consumption,0.0003958279234247479
roll_std_24,0.0003632631983635398
roll_min_48,0.0003471673356324218
hour,0.00033751352150523917
day,0.00031075125286237124
humidity,0.0002999721786638652
weekend_x_hour,0.00018493779167001923
week,0.00017314591261154743
weekday,0.00016849035270330057
month,8.013218294950277e-05
acorn_ACORN-E,4.8245742185791133e-05
acorn_group_Affluent,4.651654161092786e-05
acorn_group_Adversity,4.075468130568559e-05
acorn_ACORN-D,3.885397925289625e-05
quarter,3.2305681746772286e-05
tariff_ToU,3.053322012838773e-05
acorn_ACORN-Q,2.971526814957937e-05
acorn_ACORN-M,2.5746845804009595e-05
acorn_group_Comfortable,2.4856291469077586e-05
is_weekend,2.2665924871922348e-05
acorn_ACORN-F,1.8948702361010385e-05
acorn_ACORN-H,1.8799110609946438e-05
acorn_ACORN-G,1.813694283307521e-05
acorn_ACORN-I,1.612129790300938e-05
acorn_ACORN-A,1.542695884906897e-05
acorn_ACORN-O,1.4342331448728443e-05
acorn_ACORN-N,1.3543933704636276e-05
acorn_ACORN-C,1.2723708009177241e-05
acorn_ACORN-K,1.0907528965309477e-05
acorn_ACORN-L,1.0499817423889646e-05
acorn_group_ACORN-U,9.487846453909247e-06
acorn_ACORN-J,9.219789410109244e-06
acorn_ACORN-P,6.081969989245875e-06
acorn_ACORN-U,4.8923146766820115e-06
acorn_ACORN-B,2.613505728290467e-06
